SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
n0=: y=: i.4 5 6 7	Array used in examples	Primitive	Array		Expression		https://jsoftware.github.io/j-playground/bin/html2/#code=n0%3D%3A%20y%3D%3A%20i.4%205%206%207%20%20%20%20NB.%20Array%20used%20in%20examples%0An1%3D%3A%20%28%3C%2C%3C3%29%7By%20%20%20%20NB.%20Item%203%20of%20y%0An2%3D%3A%20%28%3C%2C3%29%7By%20%20%20%20NB.%20Item%203%20of%20y%0An3%3D%3A%20%28%3C3%29%7By%20%20%20%20NB.%20Item%203%20of%20y%0An4%3D%3A%203%7By%20%20%20%20NB.%20Item%203%20of%20y%0An5%3D%3A%20%28%3C%2C%3C_1%29%7By%20%20%20%20NB.%20The%20last%20item%20of%20y%20%28item%20_1%20of%20y%29%0An6%3D%3A%20%28%3C%2C_1%29%7By%20%20%20%20NB.%20The%20last%20item%20of%20y%20%28shape%205%206%207%29%0An7%3D%3A%20%28%3C_1%29%7By%20%20%20%20NB.%20The%20last%20item%20of%20y%0An8%3D%3A%20_1%7By%20%20%20%20NB.%20The%20last%20item%20of%20y%0An9%3D%3A%20%28_1%2B%23y%29%7By%20%20%20%20NB.%20The%20last%20item%20of%20y%0An10%3D%3A%200%7By%20%20%20%20NB.%20The%20first%20item%20of%20y%0An11%3D%3A%20%28-%23y%29%7By%20%20%20%20NB.%20The%20first%20item%20of%20y%0An12%3D%3A%203%200%20_2%200%7By%20%20%20%20NB.%20Items%203%200%20_2%200%20of%20y%0An13%3D%3A%20i%3D%3A%20%3F2%203%240%7B%24y%20%20%20%20NB.%20Indices%20used%20in%20examples%0An14%3D%3A%20j%3D%3A%20%3F%201%7B%24y%20%20%20%20NB.%20Indices%20used%20in%20examples%0An15%3D%3A%20k%3D%3A%20%3F7%20%242%7B%24y%20%20%20%20NB.%20Indices%20used%20in%20examples%0An16%3D%3A%20%28%3Ci%3Bj%3Bk%29%7By%20%20%20%20NB.%20y%5Bi%3Bj%3Bk%3B%5Din%20APL%20notation%0An17%3D%3A%20%28%3C1%3B2%3B3%29%7By%20%20%20%20NB.%20y%5B1%3B2%3B3%3B%5D%0An18%3D%3A%20%28%3C1%2C2%2C3%29%7By%20%20%20%20NB.%20y%5B1%3B2%3B3%3B%5D%0An19%3D%3A%20%28%3C1%202%203%29%7By%20%20%20%20NB.%20y%5B1%3B2%3B3%3B%5D%0An20%3D%3A%20%28%3C%3Ci%29%7By%20%20%20%20NB.%20y%5Bi%3B%3B%3B%3B%5D%0An21%3D%3A%20%28%3C%3C%2Ci%29%7By%20%20%20%20NB.%20y%5B%2Ci%3B%3B...%3B%5D%0An22%3D%3A%20%28%2Ci%29%7By%20%20%20%20NB.%20y%5B%2Ci%3B%3B...%3B%5D%0An23%3D%3A%20%28%3C%3C1%203%202%29%7By%20%20%20%20NB.%20Items%201%203%202%0An24%3D%3A%20%28%3C%3C%3C1%203%202%29%7By%20%20%20%20NB.%20All%20but%20items%201%203%202%0An25%3D%3A%20%28%3C%3C%3C1%203%29%7By%20%20%20%20NB.%20All%20but%20items%201%203%0An26%3D%3A%20%28%3C%3C%3C1%29%7By%20%20%20%20NB.%20All%20but%20items%201%0An27%3D%3A%20%28%3C%3C%3C%240%29%7By%20%20%20%20NB.%20All%20but%20items%20...%20none%3B%20i.e.%20all%20items%0An28%3D%3A%20%28%3C%3Ca%3A%29%7By%20%20%20%20NB.%20All%20items%0An29%3D%3A%20%28%3C1%203%202%3B3%29%7By%20%20%20%20NB.%20y%5B1%203%202%3B3%3B%3B...%3B%5Din%20APL%20%280-origin%29%0An30%3D%3A%20%28%3C%28%3C1%203%202%29%3B3%29%7By%20%20%20%20NB.%20y%5B%28i.%23y%29-.1%203%202%3B3%3B%3B...%3B%5D%0An31%3D%3A%20%28%3C%28%3C1%203%29%3B3%29%7By%20%20%20%20NB.%20y%5B%28i.%23y%29-.1%203%3B3%3B%3B...%3B%5D%0An32%3D%3A%20%28%3C%28%3C1%29%3B3%29%7By%20%20%20%20NB.%20y%5B%28i.%23y%29-.1%3B3%3B%3B...%3B%5D%0An33%3D%3A%20%28%3C%28%3C%240%29%3B3%29%7By%20%20%20%20NB.%20y%5B%28i.%23y%29-.%240%3B3%3B%3B...%3B%5D%0An34%3D%3A%20%28%3C%28%3C%240%29%3B3%29%7By%20%20%20%20NB.%20y%5B%3B3%3B%3B...%3B%5D%0An35%3D%3A%20%28%3Ca%3A%3B3%29%7By%20%20%20%20NB.%20y%5B%3B3%3B%3B...%3B%5D%0An36%3D%3A%204%7B%22_1%20y%20%20%20%20NB.%20y%5B%3B4%3B%3B...%3B%5D%0An37%3D%3A%20%28%3Ca%3A%3Ba%3A%3B5%29%7By%20%20%20%20NB.%20y%5B%3B%3B5%3B...%3B%5D%0An38%3D%3A%205%7B%22_2%20y%20%20%20%20NB.%20y%5B%3B%3B5%3B...%3B%5D%0An39%3D%3A%20%28%3C1%202%29%7By%20%20%20%20NB.%20Abbreviated%20%28fewer%20indices%20than%20axes%29%0An40%3D%3A%20_2%7By%20%20%20%20NB.%20Negative%0An41%3D%3A%20%28%3C%3C%3C3%29%7By%20%20%20%20NB.%20Complementary%0An42%3D%3A%20%281%202%3B3%202%3B0%20_2%29%7By%20%20%20%20NB.%20Scattered%20%28non-scalar%20left%20argument%29	https://www.jsoftware.com/help/phrases/indexing.htm
n1=: (<,<3){y	Item 3 of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n2=: (<,3){y	Item 3 of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n3=: (<3){y	Item 3 of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n4=: 3{y	Item 3 of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n5=: (<,<_1){y	The last item of y (item _1 of y)	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n6=: (<,_1){y	The last item of y (shape 5 6 7)	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n7=: (<_1){y	The last item of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n8=: _1{y	The last item of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
n9=: (_1+#y){y	The last item of y	Primitive	Array		Expression		https://tio.run/##jZVfb9owFMXf@RRXKw@gQZQ4CbSEaWJ7mjRVk7a3qooMNWAaTJWErhEfnt5rJ@QPDTQiEvj8zsXx8XU2x6Oyv00gw1taHvgwgjHgdf/Dglkc8wz2iXgCqUC88e1LJJKOchDuTQdTt3/ICvZXKrbgwm4JWUcxA7TqrtZbZQ9lt0Xz8/8OnYr731pAxJMUJKEEQk9/DR39q99RI@O7akvW/EWYZUDXWLuumDrqFrHQuczcUanQ@XqTXSnmUB52nVnKuAHpDIZnxc5BysIFG0JWLUprmpzGC5ZykXh/Z@B27UO3xNWTXIjko71AYW3IA87nDJTgMxnG0GWfs5jwZLAJnivPmz3okeAR4dmf36B2KU/lTqHB5OYELHBrBj0SPCJxa4gBG7QRd4YAXIuPCWZrYiobc8KLVNMl00FdHqBuWZYmdJtc0E2b4BRcYP1mdnoUIc9AZ9QsimC@N3uhpP2SvsQiOSrIdg6pcU517VYMnwajUSLAA0ZYwFHUArpNCFM@aZgLvYgA594M0ozla5VvgJ493MVyJRV2rmvCyd39hr0nLWydoVUvgy6ndF3wVB2scLTyVdrNaVyvFrxrV3mvla9SJlU@uYBQnN7hCx6IVcArgXFRAz9@vUzgnyhKzMcyDFqAU9dUI53PY/EqeYqN3VuK/yLG/jbNnq65Av4mEozMo8hCVvruxQob@lWglDdT7Z3xc0fnw1aolMf01tBJOJQn3nSwVdi/C56mIqYJ4F4cJgse8RgisUyBx6s9Fel3jsd3	https://www.jsoftware.com/help/phrases/indexing.htm
